city,country,date,lat,lon,max_temp,humidity,cloudiness,wind_speed
grand-lahou,CI,1970-01-01 00:00:01.579292882,5.14,-5.02,81.66,84,8,14.14
lebu,CL,1970-01-01 00:00:01.579292883,-37.62,-73.65,72.77,46,0,9.04
lasa,IT,1970-01-01 00:00:01.579292883,46.62,10.7,34.0,85,5,3.36
busselton,AU,1970-01-01 00:00:01.579292883,-33.65,115.33,61.0,50,0,15.82
puerto ayora,EC,1970-01-01 00:00:01.579292805,-0.74,-90.35,86.0,62,75,16.11
khatanga,RU,1970-01-01 00:00:01.579292883,71.97,102.5,-8.99,98,100,3.2
saskylakh,RU,1970-01-01 00:00:01.579292883,71.92,114.08,-15.12,94,14,12.66
kyakhta,RU,1970-01-01 00:00:01.579292883,50.35,106.45,-7.74,93,58,3.51
mataura,NZ,1970-01-01 00:00:01.579292883,-46.19,168.86,60.01,90,97,3.0
avarua,CK,1970-01-01 00:00:01.579292883,-21.21,-159.78,80.6,88,75,10.29
victoria,HK,1970-01-01 00:00:01.579292814,22.29,114.16,62.6,55,40,4.7
tapaua,AR,1970-01-01 00:00:01.579292643,-38.0,-57.56,73.4,43,0,16.11
mar del plata,US,1970-01-01 00:00:01.579292883,22.08,-159.32,75.2,73,90,21.92
kapaa,NC,1970-01-01 00:00:01.579292883,-22.28,166.46,80.01,83,90,2.24
noumea,MY,1970-01-01 00:00:01.579292883,5.41,100.34,82.4,83,20,1.12
georgetown,CA,1970-01-01 00:00:01.579292883,69.45,-133.04,-9.4,83,40,12.75
tuktoyaktuk,US,1970-01-01 00:00:01.579292883,43.9,-70.47,18.0,43,1,14.99
raymond,AU,1970-01-01 00:00:01.579292883,-24.87,113.63,77.0,83,0,19.46
carnarvon,CR,1970-01-01 00:00:01.579292884,9.52,-84.32,82.4,57,40,20.8
parrita,AR,1970-01-01 00:00:01.579292780,-54.8,-68.3,51.8,71,75,24.16
ushuaia,AU,1970-01-01 00:00:01.579292884,-37.83,140.77,59.0,87,90,10.29
mount gambier,US,1970-01-01 00:00:01.579292699,37.1,-113.58,54.0,20,1,12.75
saint george,CL,1970-01-01 00:00:01.579292694,-53.15,-70.92,57.2,54,40,38.03
punta arenas,NZ,1970-01-01 00:00:01.579292884,-46.6,168.33,60.01,90,100,3.0
vaitupu,RU,1970-01-01 00:00:01.579292884,69.3,139.9,-27.65,97,33,1.92
bluff,US,1970-01-01 00:00:01.579292884,42.6,-73.97,19.99,34,1,17.22
